premise,layer,head,factual%,cf%,delta
redefine,0,0,75.4,24.6,1.1738381150960921
redefine,0,1,73.6,26.4,1.0943542773723602
redefine,0,2,75.2,24.8,1.1656699894666671
redefine,0,3,74.6,25.4,1.138343347787857
redefine,0,4,74.6,25.4,1.101196632027626
redefine,0,5,75.6,24.4,1.182893921494484
redefine,0,6,75.0,25.0,1.1677036556005478
redefine,0,7,76.2,23.8,1.1973355145454407
redefine,0,8,75.2,24.8,1.1394231852293015
redefine,0,9,74.8,25.2,1.1941485576629638
redefine,0,10,76.0,24.0,1.1804789253473282
redefine,0,11,74.8,25.2,1.106173638343811
redefine,1,0,75.2,24.8,1.1800613003969191
redefine,1,1,76.0,24.0,1.1620002360343933
redefine,1,2,75.2,24.8,1.1363702154159545
redefine,1,3,75.6,24.4,1.1602191596031188
redefine,1,4,76.0,24.0,1.1780248118638992
redefine,1,5,74.8,25.2,1.115751540541649
redefine,1,6,75.8,24.2,1.158019308924675
redefine,1,7,74.6,25.4,1.090250871181488
redefine,1,8,74.6,25.4,1.118982528090477
redefine,1,9,75.2,24.8,1.1421104338169097
redefine,1,10,75.4,24.6,1.1598013657331467
redefine,1,11,75.2,24.8,1.1136115847826005
redefine,2,0,75.4,24.6,1.0990234897136688
redefine,2,1,75.6,24.4,1.1621095478534698
redefine,2,2,75.2,24.8,1.1027692310810089
redefine,2,3,75.6,24.4,1.1292754774093627
redefine,2,4,74.8,25.2,1.1017640155553818
redefine,2,5,74.4,25.6,1.0508716107606888
redefine,2,6,74.6,25.4,1.1254739799499511
redefine,2,7,73.4,26.6,1.0197149229049682
redefine,2,8,74.0,26.0,1.10019606256485
redefine,2,9,76.0,24.0,1.1726052839756012
redefine,2,10,74.8,25.2,1.0664172686338425
redefine,2,11,74.4,25.6,1.061541467308998
redefine,3,0,74.2,25.8,1.0842437542676926
redefine,3,1,75.2,24.8,1.1395526065826416
redefine,3,2,75.4,24.6,1.1028879067897797
redefine,3,3,75.6,24.4,1.1811452487707137
redefine,3,4,75.6,24.4,1.1222274827957153
redefine,3,5,74.0,26.0,1.1216208859682084
redefine,3,6,74.4,25.6,1.0654141715765
redefine,3,7,73.6,26.4,1.08088110601902
redefine,3,8,74.2,25.8,1.0896887716054917
redefine,3,9,75.6,24.4,1.1661555660963059
redefine,3,10,74.8,25.2,1.1347265158891677
redefine,3,11,73.8,26.2,1.0319843114614486
redefine,4,0,72.6,27.4,0.9610064803361893
redefine,4,1,73.4,26.6,1.063558236837387
redefine,4,2,74.8,25.2,1.1067614215612411
redefine,4,3,74.2,25.8,1.0850964710712432
redefine,4,4,74.4,25.6,1.112584197163582
redefine,4,5,74.8,25.2,1.1352141296863556
redefine,4,6,76.2,23.8,1.1705298702716826
redefine,4,7,74.4,25.6,1.107079150557518
redefine,4,8,75.6,24.4,1.1324765955209732
redefine,4,9,73.2,26.8,1.0109640892744065
redefine,4,10,75.6,24.4,1.1428611220121383
redefine,4,11,74.8,25.2,1.1296456475257874
redefine,5,0,74.2,25.8,1.0921208373308182
redefine,5,1,74.6,25.4,1.1441659845113754
redefine,5,2,75.6,24.4,1.1219315984249114
redefine,5,3,74.8,25.2,1.0927286348342895
redefine,5,4,75.4,24.6,1.136264375090599
redefine,5,5,74.6,25.4,1.0471301053762436
redefine,5,6,74.6,25.4,1.1027166197299958
redefine,5,7,74.4,25.6,1.1008667631149291
redefine,5,8,75.6,24.4,1.1459059916734695
redefine,5,9,75.0,25.0,1.1011642849445342
redefine,5,10,75.2,24.8,1.1627598620653152
redefine,5,11,73.8,26.2,1.047049992799759
redefine,6,0,73.6,26.4,1.1002703431844711
redefine,6,1,76.2,23.8,1.200367520570755
redefine,6,2,76.6,23.4,1.1689556543827058
redefine,6,3,73.4,26.6,1.0645253732204438
redefine,6,4,74.2,25.8,1.100862140417099
redefine,6,5,74.8,25.2,1.0950498385429381
redefine,6,6,75.2,24.8,1.1236357526779175
redefine,6,7,74.6,25.4,1.122974316239357
redefine,6,8,76.2,23.8,1.1784047533273696
redefine,6,9,75.4,24.6,1.129690477490425
redefine,6,10,74.2,25.8,1.0677380994558334
redefine,6,11,74.4,25.6,1.1237098375558854
redefine,7,0,74.6,25.4,1.1446857224702836
redefine,7,1,74.0,26.0,1.117314693212509
redefine,7,2,75.8,24.2,1.1540057586431502
redefine,7,3,75.6,24.4,1.1740165357589722
redefine,7,4,75.2,24.8,1.0978040615320206
redefine,7,5,74.4,25.6,1.0833868842124939
redefine,7,6,75.0,25.0,1.145519819021225
redefine,7,7,75.4,24.6,1.1457381476163864
redefine,7,8,75.2,24.8,1.1459007662534715
redefine,7,9,75.4,24.6,1.1264190989732743
redefine,7,10,75.2,24.8,1.1370545980930329
redefine,7,11,74.4,25.6,1.0769522988796234
redefine,8,0,74.6,25.4,1.0792619109153747
redefine,8,1,75.0,25.0,1.135675339460373
redefine,8,2,74.4,25.6,1.0863221468925477
redefine,8,3,74.0,26.0,1.0643383793830872
redefine,8,4,75.6,24.4,1.149674395084381
redefine,8,5,75.6,24.4,1.1837334498167038
redefine,8,6,75.4,24.6,1.1312692292928697
redefine,8,7,75.0,25.0,1.153721086859703
redefine,8,8,75.2,24.8,1.1160124020576476
redefine,8,9,74.4,25.6,1.0761700257062912
redefine,8,10,75.8,24.2,1.211485816001892
redefine,8,11,73.8,26.2,1.0639199810028077
redefine,9,0,75.2,24.8,1.143520449757576
redefine,9,1,75.4,24.6,1.1801159524917602
redefine,9,2,75.2,24.8,1.1639560265541076
redefine,9,3,73.8,26.2,1.121324635744095
redefine,9,4,75.4,24.6,1.153264145731926
redefine,9,5,75.6,24.4,1.1266931545734407
redefine,9,6,75.4,24.6,1.1662041797637939
redefine,9,7,74.8,25.2,1.1479663825035096
redefine,9,8,76.2,23.8,1.1185480709075928
redefine,9,9,75.6,24.4,1.1268074309825897
redefine,9,10,75.4,24.6,1.1929930365085601
redefine,9,11,74.6,25.4,1.0910737278461455
redefine,10,0,74.0,26.0,1.0697934277057648
redefine,10,1,74.6,25.4,1.0845502457618714
redefine,10,2,75.2,24.8,1.117066794037819
redefine,10,3,74.0,26.0,1.0719554597139358
redefine,10,4,76.2,23.8,1.1563192181587219
redefine,10,5,75.4,24.6,1.0976256804466247
redefine,10,6,75.6,24.4,1.1413968609571457
redefine,10,7,73.8,26.2,1.1096486443281173
redefine,10,8,76.0,24.0,1.0953093050718308
redefine,10,9,75.0,25.0,1.0768411648273468
redefine,10,10,75.0,25.0,1.1425120459794997
redefine,10,11,73.8,26.2,1.0907024564743042
redefine,11,0,75.0,25.0,1.107116238117218
redefine,11,1,74.8,25.2,1.1276050612926483
redefine,11,2,74.2,25.8,1.0995532621145248
redefine,11,3,75.4,24.6,1.1106383665800095
redefine,11,4,75.2,24.8,1.1273922773599625
