premise,layer,head,factual%,cf%,delta
redefine,0,0,72.6,27.4,0.8501900510787964
redefine,0,1,71.8,28.2,0.7565046401023865
redefine,0,2,73.6,26.4,0.910614117860794
redefine,0,3,72.2,27.8,0.8591729432344437
redefine,0,4,71.8,28.2,0.8090694700479507
redefine,0,5,73.0,27.0,0.8399825568199157
redefine,0,6,73.2,26.8,0.8645061627626419
redefine,0,7,73.2,26.8,0.877346602678299
redefine,0,8,72.0,28.0,0.8410819746255874
redefine,0,9,73.8,26.2,0.9029453409910202
redefine,0,10,74.0,26.0,0.9000199255943299
redefine,0,11,73.0,27.0,0.8577676019668579
redefine,1,0,73.6,26.4,0.8950177035331726
redefine,1,1,72.4,27.6,0.8723885029554367
redefine,1,2,72.8,27.2,0.8408924394845962
redefine,1,3,72.6,27.4,0.8320186557769775
redefine,1,4,73.4,26.6,0.8746544373035431
redefine,1,5,72.4,27.6,0.8511315187215805
redefine,1,6,73.0,27.0,0.8481156332492829
redefine,1,7,72.8,27.2,0.8247819254398346
redefine,1,8,72.6,27.4,0.8542710479497909
redefine,1,9,73.2,26.8,0.8663041566610337
redefine,1,10,72.2,27.8,0.8474019092321395
redefine,1,11,72.6,27.4,0.8136187987327576
redefine,2,0,72.6,27.4,0.8375289158821106
redefine,2,1,72.6,27.4,0.8636407573223114
redefine,2,2,72.6,27.4,0.8224066728353501
redefine,2,3,73.2,26.8,0.8305283148288727
redefine,2,4,72.6,27.4,0.8015139750242233
redefine,2,5,72.8,27.2,0.7892288391590119
redefine,2,6,72.8,27.2,0.8567479053735733
redefine,2,7,73.2,26.8,0.7998292070627212
redefine,2,8,72.0,28.0,0.8123811784982681
redefine,2,9,73.6,26.4,0.8755396246910095
redefine,2,10,72.4,27.6,0.8236090027093887
redefine,2,11,71.8,28.2,0.7793222358226776
redefine,3,0,72.4,27.6,0.8299528130292892
redefine,3,1,73.2,26.8,0.8317784736156464
redefine,3,2,72.6,27.4,0.8173264636993408
redefine,3,3,74.0,26.0,0.8915527807474136
redefine,3,4,73.8,26.2,0.8562465020418167
redefine,3,5,73.2,26.8,0.8838807617425919
redefine,3,6,72.6,27.4,0.8161713918447494
redefine,3,7,73.6,26.4,0.8623113453388214
redefine,3,8,73.0,27.0,0.8501676808595657
redefine,3,9,73.0,27.0,0.8449705946445465
redefine,3,10,73.4,26.6,0.8693468869924545
redefine,3,11,70.2,29.8,0.7240794851779938
redefine,4,0,71.2,28.8,0.7779756789207458
redefine,4,1,72.2,27.8,0.8153076511621475
redefine,4,2,73.2,26.8,0.8362247335910797
redefine,4,3,72.8,27.2,0.8344241786003113
redefine,4,4,72.0,28.0,0.8480817263126373
redefine,4,5,72.4,27.6,0.8282204910516738
redefine,4,6,74.6,25.4,0.9184308326244355
redefine,4,7,73.6,26.4,0.8696296486854553
redefine,4,8,74.6,25.4,0.9017406568527222
redefine,4,9,71.4,28.6,0.733976578950882
redefine,4,10,72.8,27.2,0.8677985084056854
redefine,4,11,72.8,27.2,0.8472498408555984
redefine,5,0,71.8,28.2,0.7800064779520035
redefine,5,1,73.8,26.2,0.8857926372289657
redefine,5,2,73.2,26.8,0.8424725340604782
redefine,5,3,72.6,27.4,0.8005508126020432
redefine,5,4,73.2,26.8,0.863128561258316
redefine,5,5,72.2,27.8,0.7964851356744767
redefine,5,6,73.2,26.8,0.8539037507772446
redefine,5,7,72.8,27.2,0.8428166525363923
redefine,5,8,74.0,26.0,0.9065924761295319
redefine,5,9,72.6,27.4,0.8410760740041733
redefine,5,10,73.6,26.4,0.8861194572448731
redefine,5,11,71.8,28.2,0.7812961605787277
redefine,6,0,73.0,27.0,0.8635400211811066
redefine,6,1,73.8,26.2,0.8971838806867599
redefine,6,2,74.2,25.8,0.8914278606176377
redefine,6,3,71.8,28.2,0.7965991493463517
redefine,6,4,71.6,28.4,0.7831460409164429
redefine,6,5,73.6,26.4,0.8520840072631836
redefine,6,6,74.0,26.0,0.8862419422864914
redefine,6,7,73.0,27.0,0.8606604619026184
redefine,6,8,75.2,24.8,0.9263004274368286
redefine,6,9,73.0,27.0,0.8348078279495239
redefine,6,10,71.2,28.8,0.7707935001850128
redefine,6,11,73.2,26.8,0.8722681461572647
redefine,7,0,72.4,27.6,0.8849135395288468
redefine,7,1,72.2,27.8,0.8223478558063507
redefine,7,2,73.4,26.6,0.8634717483520508
redefine,7,3,73.4,26.6,0.8934486852884292
redefine,7,4,71.6,28.4,0.7976960014104844
redefine,7,5,72.8,27.2,0.828826463341713
redefine,7,6,74.2,25.8,0.9042709735631943
redefine,7,7,72.6,27.4,0.8549833362102508
redefine,7,8,74.0,26.0,0.8728490599393844
redefine,7,9,72.6,27.4,0.8748817102909088
redefine,7,10,72.2,27.8,0.8558929899930954
redefine,7,11,71.4,28.6,0.7495535037517548
redefine,8,0,70.8,29.2,0.7758695672750473
redefine,8,1,73.8,26.2,0.869895205616951
redefine,8,2,70.6,29.4,0.7696955572366715
redefine,8,3,71.4,28.6,0.7565682225227356
redefine,8,4,72.2,27.8,0.8515729050636291
redefine,8,5,73.6,26.4,0.9289737280607223
redefine,8,6,73.8,26.2,0.8831993622779846
redefine,8,7,73.2,26.8,0.862480058312416
redefine,8,8,72.6,27.4,0.8297585465908051
redefine,8,9,72.0,28.0,0.7939918020963669
redefine,8,10,73.2,26.8,0.938811032295227
redefine,8,11,72.0,28.0,0.7439443213939667
redefine,9,0,73.2,26.8,0.8395304538011551
redefine,9,1,73.0,27.0,0.8960532940626145
